Step,Average_Reward
12600,-102.10270952352869
12500,-80.3846439638562
12700,-88.33176726421891
12600,-34.04080475298174
12800,-35.050991499929275
12700,-28.985350175369813
12900,-27.945843061062803
12800,-79.7682825969271
13000,-72.94345278723206
12900,-53.49571258963789
13100,-49.67167976261815
13000,-82.2601954359161
13200,-77.55084487655989
13100,-70.05994984497022
13300,-64.3452208998513
13200,-83.47468870571096
13400,-91.06905929082
13300,-102.02120282527481
13500,-107.498348004883
13400,-132.2819840309393
13600,-134.3046305398521
13500,-143.69419529359104
13700,-144.4140509442945
13600,-103.34955128505
13800,-108.67306309308393
13700,-128.074282463028
13900,-130.57700595047203
13800,-134.25101481833175
14000,-136.04884642915317
13900,-83.86757221124635
14100,-76.56644412042884
14000,-59.68313923652641
14200,-70.00505289319766
14100,-108.09245569961503
14300,-112.87805371434511
14200,-114.20601414060168
14400,-110.64733358961863
14300,-136.78189654568564
14500,-133.14287071964196
14400,-127.79188531244586
14600,-130.3271143853195
14500,-147.05476969287668
14700,-147.39099064661266
14600,-55.45849343919615
14800,-66.27028671081658
14700,-90.71782147719834
14900,-97.48787482168129
14800,-98.44147418174899
15000,-96.68256971990654
14900,-93.19171923247963
15100,-84.83637151517509
15000,-83.31142332912242
15200,-78.6839479046253
15100,-82.59684878559531
15300,-90.29143283651398
15200,-109.29578323717955
15400,-104.24998932818022
15300,-78.18764192904584
15500,-71.5450792771124
15400,-66.5510204912231
15600,-61.23686682542731
15500,-56.88112329321697
15700,-65.16115848324516
15600,-72.76935771558148
15800,-73.94078396314704
15700,-95.39183089366706
15900,-86.78527897654641
15800,-48.18959425624771
16000,-54.66402777922517
15900,-73.44383662592928
16100,-67.34281547921994
16000,-62.76437483720887
16200,-57.88249562195363
16100,-23.43576779021547
16300,-20.38035637925662
16200,-4.922373722983185
16400,-3.831357551095425
16300,-14.580949626298855
16500,-15.142910666542763
16400,-51.578744374335756
16600,-47.97407043820863
16500,-104.57201819517213
16700,-109.7580056183268
16600,-116.20498817514202
16800,-120.06295119429207
16700,-85.84792790066344
16900,-90.62337636805225
16800,-129.25900867400807
17000,-123.98171094902202
16900,-69.72262505842471
17100,-64.04640857606348
17000,-126.41507133828084
17200,-129.10747064332028
17100,-75.36738942456869
17300,-69.04678007028652
17200,-121.76747459790332
17400,-122.39043248003011
17300,-104.81359956573289
17500,-95.13148096895831
17400,-127.82912129475676
17600,-127.76009602190082
17500,-88.37959262255372
17700,-80.57354113127347
17600,-72.93976877362407
17800,-66.89629081281682
17700,-62.56135944450898
17900,-62.85065598313231
17800,-55.19710150632245
18000,-58.82412419787255
17900,-57.65746741088358
