1,-21.41,6,1.3697
2,-16.82,18,0.7484
3,-6.89,60,0.707
4,-18.88,70,0.4199
5,-22.42,78,0.8302
6,-21.02,92,1.0478
7,-20.82,110,1.203
8,-16.29,132,0.3223
9,-19.64,142,0.4118
10,6.93,216,0.8637
11,-20.53,224,0.3617
12,-20.83,238,1.4049
13,-20.65,252,0.7398
14,-20.1,264,0.7588
15,-20.2,278,0.9229
16,-20.96,288,0.4251
17,-14.27,302,0.5618
18,-12.14,340,0.4291
19,-22.01,348,0.3217
20,-19.54,362,0.4953
21,-7.34,392,0.966
22,-14.86,408,0.3303
23,-21.33,418,0.3037
24,-21.4,426,0.3582
25,-20.13,442,0.9016
26,-16.37,464,0.9727
27,-20.28,476,0.3201
28,-19.19,490,0.4514
29,-21.89,504,1.8895
30,-19.7,514,0.4249
31,-16.22,536,0.7476
32,-22.3,542,1.2966
33,-20.89,558,0.348
34,-18.64,572,0.9387
35,-18.65,582,0.9883
36,-19.99,596,0.3697
37,-16.32,608,0.8564
38,-13.85,628,0.7712
39,-13.88,646,1.1477
40,-20.13,658,0.9711
41,-19.21,668,0.668
42,-20.46,680,1.0119
43,-15.32,696,1.5131
44,-20.22,706,1.3122
45,-18.15,720,1.4618
46,-17.9,734,0.6597
47,-20.51,746,0.9237
48,-17.89,766,0.4883
49,-22.36,772,1.859
50,-20.31,782,0.9161
51,12.14,830,0.9554
52,-2.8,856,1.7318
53,-16.79,884,1.203
54,-22.18,892,0.342
55,-20.97,902,0.6781
56,-20.24,914,0.4558
57,-21.39,920,0.6883
58,-14.86,934,0.3572
59,-21.13,946,1.0705
60,-21.58,956,1.4512
61,-12.69,974,0.9521
62,-16.15,992,0.7143
63,745.47,1492,0.4367
64,760.65,1992,0.3141
65,759.23,2492,0.3411
66,760.63,2992,0.3453
67,759.66,3492,0.3221
68,760.29,3992,0.3239
69,760.73,4492,0.326
70,759.66,4992,0.3187
71,761.1,5492,0.3157
72,759.81,5992,0.2972
73,760.09,6492,0.3007
74,761.11,6992,0.3106
75,760.5,7492,0.3185
76,760.12,7992,0.301
77,760.11,8492,0.3162
78,759.36,8992,0.3076
79,760.5,9492,0.3053
80,760.14,9992,0.3114
81,759.07,10492,0.2872
82,760.39,10992,0.2971
83,760.9,11492,0.2883
84,759.46,11992,0.2945
85,760.35,12492,0.3273
86,759.97,12992,0.2879
87,760.25,13492,0.3063
88,760.13,13992,0.298
89,760.39,14492,0.2946
90,759.47,14992,0.2926
91,760.56,15492,0.2889
92,759.93,15992,0.2911
93,760.93,16492,0.3015
94,760.82,16992,0.2916
95,758.94,17492,0.2953
96,760.32,17992,0.2882
97,760.21,18492,0.342
98,759.97,18992,0.3303
99,759.7,19492,0.3082
100,760.4,19992,0.3204
101,759.89,20492,0.3081
102,759.3,20992,0.3117
103,761.5,21492,0.3008
104,759.25,21992,0.2887
105,760.73,22492,0.2934
106,760.52,22992,0.3201
107,759.26,23492,0.3367
108,760.15,23992,0.3011
109,758.76,24492,0.2978
110,760.32,24992,0.2893
111,760.66,25492,0.2812
112,760.72,25992,0.3366
113,759.3,26492,0.2905
114,761.17,26992,0.2761
115,760.18,27492,0.2766
116,759.61,27992,0.2862
117,759.11,28492,0.2808
118,760.19,28992,0.2925
119,760.56,29492,0.2929
120,759.72,29992,0.2896
121,760.5,30492,0.298
122,760.08,30992,0.2884
123,759.76,31492,0.285
124,759.28,31992,0.2906
125,759.1,32492,0.3105
126,760.61,32992,0.2984
127,761.06,33492,0.2949
128,759.91,33992,0.3014
129,759.72,34492,0.2998
130,759.37,34992,0.2904
131,759.94,35492,0.2949
132,760.3,35992,0.3028
133,759.57,36492,0.2981
134,761.59,36992,0.2948
135,759.05,37492,0.2813
136,759.63,37992,0.2871
137,759.98,38492,0.3019
138,760.49,38992,0.3265
139,760.35,39492,0.3141
140,760.31,39992,0.3462
141,760.21,40492,0.3004
142,759.45,40992,0.3158
143,760.67,41492,0.3157
144,759.93,41992,0.3057
145,759.96,42492,0.2904
146,760.79,42992,0.2916
147,760.15,43492,0.2913
148,760.23,43992,0.3049
149,759.62,44492,0.2857
150,760.17,44992,0.2975
151,760.22,45492,0.2989
152,760.78,45992,0.2868
153,759.98,46492,0.3176
154,759.57,46992,0.2925
155,759.76,47492,0.2941
156,759.68,47992,0.2939
157,759.82,48492,0.3145
158,759.83,48992,0.2921
159,760.04,49492,0.2933
160,760.58,49992,0.2932
161,759.76,50492,0.291
162,759.49,50992,0.2911
163,760.13,51492,0.2983
164,758.92,51992,0.2822
165,760.71,52492,0.2865
166,759.26,52992,0.2848
167,759.64,53492,0.2911
168,759.23,53992,0.2899
169,759.94,54492,0.3101
170,760.21,54992,0.2959
171,760.9,55492,0.2998
172,760.04,55992,0.2937
173,759.63,56492,0.2859
174,759.33,56992,0.2902
175,760.06,57492,0.2971
176,760.49,57992,0.2828
177,760.7,58492,0.3017
178,759.9,58992,0.3036
179,759.83,59492,0.2871
180,760.68,59992,0.2816
181,759.95,60492,0.2847
182,760.32,60992,0.2945
183,760.37,61492,0.2852
184,759.35,61992,0.3018
185,760.33,62492,0.2859
186,760.65,62992,0.3036
187,760.4,63492,0.2952
188,759.61,63992,0.2869
189,758.95,64492,0.2901
190,760.74,64992,0.2862
191,759.78,65492,0.2936
192,760.13,65992,0.2973
193,760.14,66492,0.2835
194,760.84,66992,0.2839
195,760.74,67492,0.2814
196,758.47,67992,0.2737
197,760.4,68492,0.298
198,758.54,68992,0.2958
199,759.63,69492,0.3
200,759.86,69992,0.2914
201,759.14,70492,0.304
202,760.02,70992,0.3161
203,760.45,71492,0.3098
204,759.83,71992,0.3096
205,760.09,72492,0.31
206,759.37,72992,0.3084
207,761.96,73492,0.306
208,760.11,73992,0.3437
209,759.72,74492,0.298
210,760.18,74992,0.2938
211,761.49,75492,0.299
212,759.48,75992,0.2841
213,760.55,76492,0.2867
214,759.88,76992,0.2968
215,758.92,77492,0.2911
216,759.36,77992,0.2985
217,760.09,78492,0.3016
218,760.75,78992,0.3127
219,759.93,79492,0.2986
220,758.98,79992,0.2948
221,759.7,80492,0.2999
222,759.19,80992,0.2984
223,760.76,81492,0.296
224,759.73,81992,0.3004
225,758.04,82492,0.3018
226,760.5,82992,0.2969
227,760.15,83492,0.2992
228,759.53,83992,0.2955
229,760.12,84492,0.2976
230,759.0,84992,0.3085
231,760.62,85492,0.3015
232,759.47,85992,0.2959
233,760.03,86492,0.3101
234,759.84,86992,0.3039
235,759.56,87492,0.3092
236,760.84,87992,0.2956
237,759.33,88492,0.3
238,758.98,88992,0.3151
239,760.05,89492,0.3026
240,760.1,89992,0.2995
241,759.87,90492,0.2958
242,760.53,90992,0.2916
243,760.13,91492,0.2903
244,760.34,91992,0.2881
245,759.79,92492,0.2871
246,760.29,92992,0.2884
247,760.23,93492,0.2888
248,759.88,93992,0.3014
249,759.54,94492,0.2835
250,759.89,94992,0.2916
251,760.08,95492,0.2861
252,759.53,95992,0.2833
253,760.65,96492,0.2559
254,759.79,96992,0.2668
255,759.6,97492,0.2616
256,759.79,97992,0.266
257,759.1,98492,0.2636
258,760.01,98992,0.2797
259,760.31,99492,0.3193
260,760.42,99992,0.2709
261,759.54,100492,0.2711
262,759.74,100992,0.2619
263,760.48,101492,0.2592
264,759.72,101992,0.2695
265,760.54,102492,0.2667
266,759.81,102992,0.2619
267,760.0,103492,0.2614
268,759.98,103992,0.2594
269,759.89,104492,0.2557
270,758.8,104992,0.2548
271,760.36,105492,0.2619
272,760.95,105992,0.2555
273,760.28,106492,0.2489
274,759.78,106992,0.2541
275,759.8,107492,0.2564
276,760.41,107992,0.2535
277,759.92,108492,0.2581
278,759.96,108992,0.2595
279,759.36,109492,0.2525
280,758.78,109992,0.2518
281,761.17,110492,0.2566
282,761.33,110992,0.2572
283,759.8,111492,0.2609
284,759.89,111992,0.2546
285,760.39,112492,0.2575
286,759.51,112992,0.2534
287,759.77,113492,0.2566
288,761.46,113992,0.2541
289,759.11,114492,0.2543
290,759.75,114992,0.2523
291,759.17,115492,0.2518
292,760.09,115992,0.2506
293,759.16,116492,0.2531
294,758.92,116992,0.257
295,759.89,117492,0.2635
296,760.02,117992,0.3159
297,761.03,118492,0.2783
298,760.58,118992,0.2513
299,761.39,119492,0.2662
300,759.61,119992,0.2537
301,759.27,120492,0.2533
302,759.2,120992,0.2557
303,760.39,121492,0.2644
304,758.84,121992,0.2552
305,142.98,122104,0.3256
306,758.82,122604,0.2767
307,761.34,123104,0.2708
308,759.5,123604,0.2677
309,759.21,124104,0.2539
310,760.63,124604,0.2611
311,759.82,125104,0.268
312,760.02,125604,0.271
313,760.74,126104,0.2538
314,760.19,126604,0.2585
315,760.19,127104,0.2595
316,759.91,127604,0.2577
317,759.3,128104,0.2609
318,759.55,128604,0.2599
319,760.2,129104,0.2555
320,758.97,129604,0.3235
321,760.49,130104,0.2961
322,759.09,130604,0.3023
323,760.09,131104,0.2848
324,759.47,131604,0.3183
325,759.9,132104,0.2893
326,759.5,132604,0.3103
327,759.78,133104,0.3032
328,760.48,133604,0.2973
329,760.44,134104,0.306
330,758.9,134604,0.2974
331,759.76,135104,0.3039
332,759.56,135604,0.3656
333,760.75,136104,0.304
334,760.12,136604,0.3067
335,759.37,137104,0.3687
336,760.33,137604,0.3229
337,759.15,138104,0.3262
338,760.34,138604,0.3148
339,760.68,139104,0.3997
340,759.78,139604,0.3075
341,759.23,140104,0.3096
342,760.66,140604,0.3306
343,759.33,141104,0.3001
344,760.66,141604,0.3347
345,760.42,142104,0.3653
346,760.12,142604,0.2964
347,759.04,143104,0.3072
348,761.83,143604,0.278
349,759.62,144104,0.3034
350,759.31,144604,0.3405
351,759.91,145104,0.4378
352,760.33,145604,0.3647
353,759.96,146104,0.3154
354,759.96,146604,0.4554
355,760.45,147104,0.4533
356,760.75,147604,0.2992
357,759.95,148104,0.3016
358,759.97,148604,0.3095
359,759.63,149104,0.3102
360,759.5,149604,0.3021
361,760.44,150104,0.3085
362,759.12,150604,0.2774
363,759.27,151104,0.3673
364,759.97,151604,0.4132
365,760.06,152104,0.3075
366,760.11,152604,0.3769
367,760.47,153104,0.3853
368,759.72,153604,0.49
369,759.89,154104,0.4073
370,760.16,154604,0.4324
371,760.56,155104,0.4028
372,759.66,155604,0.366
