episode,reward,total_env_steps,ep_steps,avg_time_ms,goal_x,goal_y
110,725.27,205361,2012,0.3552,-2.1811,-3.5061
111,408.21,207397,2036,0.3516,-3.7476,-3.2785
112,356.6,207843,446,0.3507,-2.8428,-2.1109
113,195.89,208127,284,0.3583,-3.7839,-2.188
114,-262.53,212127,4000,0.351,-4.4379,-3.112
115,164.5,216127,4000,0.3527,-2.9151,-4.2353
116,111.28,218142,2015,0.3524,-4.1492,-3.4522
117,174.69,218225,83,0.3671,-2.0844,-3.0099
118,174.75,218287,62,0.3702,-2.1674,-2.4891
119,-61.81,222287,4000,0.3529,-3.3315,-2.5381
120,-70.89,226287,4000,0.3511,-4.4554,-4.2271
121,526.25,227186,899,0.3553,-2.4264,-2.508
122,222.29,227884,698,0.3526,-3.9184,-3.1731
123,-471.97,231884,4000,0.3505,-2.985,-2.3307
124,-607.17,235884,4000,0.3542,-2.9922,-3.4686
125,140.86,236390,506,0.3521,-3.5645,-3.4353
126,198.32,236620,230,0.3472,-2.8702,-2.3313
127,-407.38,240620,4000,0.3495,-3.3653,-3.8804
128,155.68,241372,752,0.3525,-3.9083,-2.635
129,144.1,242286,914,0.3525,-2.4586,-4.2368
130,150.55,244757,2471,0.3516,-4.3336,-3.0139
131,-1131.8,248757,4000,0.3532,-4.1346,-2.4383
132,-391.89,252757,4000,0.3508,-3.7242,-4.1403
133,203.46,253722,965,0.3615,-2.1976,-4.0862
134,-205.92,257722,4000,0.3488,-3.7882,-4.116
135,189.24,260088,2366,0.3543,-4.2113,-4.4471
136,226.88,260903,815,0.3466,-4.3615,-4.0634
137,168.04,261808,905,0.3496,-4.3665,-3.0221
138,-1222.42,265808,4000,0.3517,-2.7982,-3.5159
139,291.19,267235,1427,0.3542,-3.705,-3.2387
140,101.34,267236,1,0.4665,-2.3125,-2.3722
141,171.89,267742,506,0.3491,-4.3913,-4.0463
142,383.45,270198,2456,0.3578,-3.9081,-3.8765
143,132.45,270848,650,0.3485,-3.0719,-3.4593
144,-1006.33,274848,4000,0.3503,-4.3769,-3.566
145,306.09,277364,2516,0.3516,-3.1906,-4.2458
146,349.99,277921,557,0.3509,-2.4164,-4.3701
147,240.45,278247,326,0.3555,-2.1879,-4.2522
148,101.36,278248,1,0.3907,-2.3911,-2.2434
149,101.33,278249,1,0.4019,-2.0511,-2.4949
150,176.39,278350,101,0.3423,-2.5513,-2.8938
151,330.9,278670,320,0.3633,-2.5525,-4.1636
152,254.84,278954,284,0.3531,-3.1598,-3.2144
153,194.64,279073,119,0.3783,-2.3561,-3.343
154,366.15,281202,2129,0.3472,-3.5373,-2.9011
155,392.93,282290,1088,0.3567,-3.8338,-4.1506
156,226.22,282778,488,0.353,-3.3053,-3.4578
157,-1095.53,286778,4000,0.3541,-3.9186,-3.5812
158,158.37,287053,275,0.3576,-3.584,-3.6813
159,649.64,289266,2213,0.3507,-3.5513,-2.7856
160,-84.27,293266,4000,0.3581,-3.7578,-2.1279
161,302.35,297266,4000,0.3505,-2.2091,-3.2977
162,227.57,297859,593,0.3644,-3.6791,-3.1614
163,200.4,298005,146,0.3488,-2.3786,-2.8685
164,187.55,298262,257,0.3389,-2.489,-3.1682
165,213.72,298450,188,0.3532,-2.9177,-3.7796
166,292.34,298740,290,0.3416,-2.6628,-3.994
167,336.65,299120,380,0.3653,-2.763,-2.3482
168,510.32,302665,3545,0.3485,-4.1697,-2.9641
169,428.91,304755,2090,0.3519,-4.2623,-2.6857
170,-130.4,308755,4000,0.349,-4.2888,-2.1602
171,137.27,309402,647,0.3506,-4.1565,-2.1028
172,193.25,310307,905,0.3566,-2.4978,-3.0158
173,441.76,311659,1352,0.3555,-2.5434,-2.5122
174,-232.87,315659,4000,0.3519,-2.1349,-3.8665
175,186.0,315937,278,0.3537,-3.0248,-4.2624
176,240.15,316176,239,0.358,-2.9596,-4.0718
177,-371.16,320176,4000,0.3492,-3.0876,-3.0689
178,-379.89,324176,4000,0.3512,-3.335,-3.1934
179,180.95,324277,101,0.3523,-2.5902,-2.5019
180,-132.49,328277,4000,0.3497,-3.2696,-3.001
181,173.31,328402,125,0.3547,-2.1719,-4.2007
182,112.04,331275,2873,0.3532,-4.2072,-4.2807
183,173.16,332303,1028,0.349,-2.8553,-3.4535
184,77.38,336303,4000,0.352,-2.5642,-2.8219
185,90.78,337346,1043,0.4885,-3.6659,-2.2541
186,150.5,337462,116,1.0908,-2.5937,-3.8237
187,-751.6,341462,4000,0.544,-3.5895,-3.7139
188,243.41,343837,2375,0.3571,-4.106,-4.1305
189,216.92,344586,749,0.3564,-2.1597,-3.4052
190,-1214.16,348586,4000,0.3627,-3.5417,-2.6758
191,-245.58,352586,4000,0.3581,-3.1175,-2.1597
192,327.27,353710,1124,0.3602,-2.5492,-3.3016
193,-232.02,357710,4000,0.353,-3.5591,-2.0334
194,-287.19,361710,4000,0.3515,-2.7056,-2.122
195,-193.96,365710,4000,0.3592,-4.2038,-2.3737
196,-31.86,368889,3179,0.3518,-2.9073,-4.1952
197,77.2,372701,3812,0.3529,-3.0294,-2.7848
198,295.36,373912,1211,0.3505,-4.4692,-3.3642
199,266.63,375192,1280,0.3492,-2.4365,-3.7616
200,-818.4,379192,4000,0.3573,-3.3536,-3.3942
201,-258.56,383192,4000,0.353,-3.7452,-2.2039
202,263.94,384358,1166,0.353,-2.5468,-4.2235
203,101.59,384359,1,0.3249,-2.0074,-2.302
204,200.98,384763,404,0.3543,-3.7902,-2.4078
205,84.07,388036,3273,0.3615,-4.234,-2.0022
206,-342.06,392036,4000,0.3499,-2.8358,-2.8747
207,235.65,392794,758,0.3645,-4.2739,-2.2574
208,213.1,396794,4000,0.3559,-4.4275,-3.8979
209,-1113.49,400794,4000,0.3526,-4.1424,-2.5581
210,-217.47,404794,4000,0.3548,-4.0045,-2.2234
211,-1025.39,408794,4000,0.3535,-2.8593,-4.4096
212,-44.07,412794,4000,0.36,-4.4864,-4.3709
213,212.6,413573,779,0.3522,-2.9852,-2.4963
214,277.65,414313,740,0.3493,-3.9036,-2.3765
215,167.51,415452,1139,0.3513,-4.3569,-2.4976
216,447.56,416948,1496,0.3548,-2.1805,-2.5697
217,2194.26,420948,4000,0.3513,-2.7547,-2.405
218,142.47,421419,471,0.3459,-4.3996,-3.9955
219,-1140.09,425419,4000,0.3587,-4.1877,-3.2387
220,172.65,425514,95,0.3455,-2.637,-2.925
221,212.17,425897,383,0.3719,-2.3722,-4.112
222,172.81,426535,638,0.3589,-2.6634,-4.0174
223,167.9,426906,371,0.349,-3.8231,-2.7252
