1,-22.82,250,250,0.3738
2,-49.31,608,358,0.3897
3,-36.86,771,163,0.3738
4,-52.85,1099,328,0.3801
5,-25.79,1262,163,0.3659
6,-38.77,1444,182,0.3777
7,-44.61,1710,266,0.3708
8,-24.06,1946,236,0.3701
1,-11.02,1500,1500,8.0929
2,-5.75,3000,1500,2.7434
3,-70.58,4500,1500,3.7837
4,51.74,6000,1500,4.0163
5,10.72,7500,1500,2.7421
6,29.0,9000,1500,0.831
7,9.66,10500,1500,0.7573
8,21.45,12000,1500,0.7882
9,251.63,13500,1500,0.7897
10,22.41,15000,1500,0.746
11,132.31,16500,1500,0.8201
12,67.06,18000,1500,0.7972
13,-29.11,19500,1500,0.7132
14,-27.01,21000,1500,0.7717
15,71.01,22500,1500,0.7423
16,-22.01,24000,1500,0.7624
17,13.65,25500,1500,0.7345
18,-16.79,27000,1500,0.7488
19,81.17,28500,1500,0.6199
20,-95.01,30000,1500,0.7796
21,272.54,31500,1500,1.6239
22,-120.58,33300,1800,1.482
23,215.09,35100,1800,0.3992
1,164.91,1500,1500,7.6001
2,-0.02,3000,1500,1.6168
3,4.39,4500,1500,1.5943
4,47.95,6000,1500,3.5768
5,22.67,7500,1500,0.9021
6,-4.85,9000,1500,0.8106
7,-28.04,10500,1500,0.7447
8,-43.85,12000,1500,0.7396
9,-27.24,13500,1500,0.7173
10,3.45,15000,1500,0.7426
11,23.66,16500,1500,0.746
12,315.42,18000,1500,0.8315
13,-47.55,19800,1800,0.784
14,-16.66,21600,1800,0.724
15,-42.51,23400,1800,0.7857
16,-26.86,25200,1800,0.7928
17,-44.89,27000,1800,0.727
18,-31.46,28800,1800,0.5995
19,-183.7,30600,1800,0.384
20,77.93,32400,1800,0.3794
21,335.67,34200,1800,0.3763
22,-78.09,36300,2100,0.3783
23,268.13,38400,2100,0.3844
24,-138.17,40500,2100,0.3766
25,-304.77,42600,2100,0.3838
26,46.37,44700,2100,0.3861
27,-51.93,46800,2100,0.3738
28,215.84,48900,2100,0.3879
29,305.7,51000,2100,0.3858
30,110.69,53100,2100,0.3851
31,67.38,55200,2100,0.3756
32,282.33,57300,2100,0.3777
33,377.08,59400,2100,0.3775
34,32.25,61500,2100,0.383
35,393.16,63600,2100,0.3788
36,144.0,65700,2100,0.3761
37,103.74,67800,2100,0.3819
38,19.02,69900,2100,0.3802
39,392.26,72000,2100,0.3808
40,95.25,74100,2100,0.3794
41,53.02,76200,2100,0.3846
42,176.34,78300,2100,0.3776
43,149.22,80400,2100,0.3749
44,85.49,82500,2100,0.3727
45,291.74,84600,2100,0.3752
46,9.36,86700,2100,0.382
47,-274.32,88800,2100,0.3716
48,123.45,90900,2100,0.3804
49,13.13,93000,2100,0.3792
50,-25.81,95100,2100,0.3723
51,106.54,97200,2100,0.375
52,117.13,99300,2100,0.3766
53,-22.78,101400,2100,0.379
54,-0.16,103500,2100,0.3743
55,-38.43,105600,2100,0.3788
56,216.61,107700,2100,0.3861
57,55.23,109800,2100,0.3712
58,26.96,111900,2100,0.3797
59,75.51,114000,2100,0.3714
60,-93.53,116100,2100,0.3742
61,-11.64,118200,2100,0.3859
62,122.24,120300,2100,0.3757
63,-80.91,122400,2100,0.3766
64,123.0,124500,2100,0.3821
65,-25.17,126600,2100,0.3717
66,-44.31,128700,2100,0.3784
67,46.19,130800,2100,0.3843
68,21.66,132900,2100,0.3728
69,-91.82,135000,2100,0.3776
70,69.65,137100,2100,0.3825
71,305.14,139200,2100,0.38
72,326.88,141300,2100,0.375
73,-68.09,143400,2100,0.3793
74,188.11,145500,2100,0.3743
75,-45.98,147600,2100,0.3706
76,-9.11,149700,2100,0.3739
77,-225.5,151800,2100,0.3767
78,60.67,153900,2100,0.3742
79,61.23,156000,2100,0.3858
80,-24.49,158100,2100,0.3804
81,-41.26,160200,2100,0.3808
82,-49.08,162300,2100,0.378
83,59.8,164400,2100,0.4357
84,178.7,166500,2100,0.6518
85,-20.28,168600,2100,0.8612
86,-168.95,170700,2100,0.3774
87,63.59,172800,2100,0.3849
88,851.88,174900,2100,0.3775
89,32.69,177000,2100,0.3749
90,265.78,179100,2100,0.3988
91,44.5,181200,2100,0.3807
92,26.06,183300,2100,0.3787
93,14.35,185400,2100,0.3786
94,-37.75,187500,2100,0.3844
95,-34.49,189600,2100,0.391
96,-84.95,191700,2100,0.3739
97,21.24,193800,2100,0.3771
98,-49.85,195900,2100,0.3756
99,94.66,198000,2100,0.3744
100,43.34,200100,2100,0.3808
101,-17.03,202200,2100,0.3841
102,71.41,204300,2100,0.3769
103,300.88,206400,2100,0.3771
104,132.23,208500,2100,0.3798
105,-51.82,210600,2100,0.3955
106,129.21,212700,2100,0.3874
107,-34.25,214800,2100,0.3912
108,-142.44,216900,2100,0.3756
109,-43.21,219000,2100,0.3732
110,-7.92,221100,2100,0.3798
111,220.19,223200,2100,0.3838
112,-86.19,225300,2100,0.3785
113,336.65,227400,2100,0.3757
114,453.42,229500,2100,0.3821
115,-423.4,231600,2100,0.3832
116,353.05,233700,2100,0.3798
117,933.32,235800,2100,0.3718
118,-235.78,237900,2100,0.3706
119,164.49,240000,2100,0.3844
120,-74.46,242100,2100,0.4186
121,144.76,244200,2100,0.7027
122,142.75,246300,2100,0.3859
123,867.58,248400,2100,0.3878
124,-31.94,250500,2100,0.3789
125,816.38,252003,1503,0.3844
126,-67.74,254403,2400,0.3729
127,379.69,256803,2400,0.3745
128,247.88,259203,2400,0.3854
129,-12.84,261603,2400,0.3736
130,-57.64,264003,2400,0.3832
131,130.75,266403,2400,0.3794
132,-20.54,268803,2400,0.3784
133,-134.6,271203,2400,0.3734
134,-20.67,273603,2400,0.376
135,-421.03,276003,2400,0.3829
136,-84.51,278403,2400,0.3789
137,-41.43,280803,2400,0.3779
138,-101.04,283203,2400,0.3786
139,533.23,285603,2400,0.3778
140,-100.1,288003,2400,0.3754
141,-85.21,290403,2400,0.3731
142,-107.33,292803,2400,0.3785
143,-179.41,295203,2400,0.3747
144,-38.44,297603,2400,0.3774
145,-62.67,300003,2400,0.3747
146,-55.23,302403,2400,0.3765
147,-13.09,304803,2400,0.3781
148,-5.47,307203,2400,0.3757
149,-20.95,309603,2400,0.3808
150,-24.6,312003,2400,0.3721
151,63.74,314403,2400,0.3781
152,-4.8,316803,2400,0.3723
153,-118.7,319203,2400,0.3841
154,31.34,321603,2400,0.3778
155,-62.99,324003,2400,0.3848
156,624.15,326113,2110,0.3838
157,-35.56,328513,2400,0.3862
158,-372.31,330913,2400,0.3746
159,-99.08,333313,2400,0.3734
160,-382.0,335713,2400,0.3719
161,-9.62,338113,2400,0.3763
162,108.08,340513,2400,0.3805
163,79.75,342913,2400,0.378
164,-29.87,345313,2400,0.3732
165,589.77,347432,2119,0.3857
166,663.71,348402,970,0.3759
167,-432.86,350802,2400,0.3739
168,-394.83,353202,2400,0.3679
169,-60.56,355602,2400,0.3869
170,-387.18,358002,2400,0.3787
171,-71.48,360402,2400,0.3769
172,-54.95,362802,2400,0.3738
173,266.84,365202,2400,0.3754
174,-40.93,367602,2400,0.3792
175,-57.69,370002,2400,0.3781
176,-45.49,372402,2400,0.3791
177,16.66,374802,2400,0.3889
178,-14.73,377202,2400,0.3777
179,-127.85,379602,2400,0.3895
180,-26.59,382002,2400,0.3906
181,236.72,384402,2400,0.3747
182,-419.72,386802,2400,0.3778
183,-9.59,389202,2400,0.3843
184,279.26,391602,2400,0.3811
185,1.02,394002,2400,0.3721
186,42.24,396402,2400,0.3978
187,-1.27,398802,2400,0.3746
